"DATE","TIME PERIOD","Current account balance (BPS.M.N.AT.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL)","Current account balance (BPS.M.N.BE.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL)","Current account balance (BPS.M.N.BG.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL)","Current account balance (BPS.M.N.DE.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL)","Current account balance (BPS.M.N.EE.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL)","Current account balance (BPS.M.N.FI.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL)","Current account balance (BPS.M.N.FR.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL)","Current account balance (BPS.M.N.GR.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL)","Current account balance (BPS.M.N.IT.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL)","Current account balance (BPS.M.N.LT.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL)","Current account balance (BPS.M.N.LU.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL)","Current account balance (BPS.M.N.LV.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL)","Current account balance (BPS.M.N.MT.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL)","Current account balance (BPS.M.N.PT.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL)","Current account balance (BPS.M.N.SI.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL)","Current account balance (BPS.M.N.SK.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL)","Current account balance, calendar and seasonally adjusted (BPS.M.Y.I10.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL)"
"1991-12-31","1991Dec","","","0.000","-16.000"
"1992-01-31","1992Jan","","","0.000","-3158.000"
"1992-02-29","1992Feb","","","0.000","-1464.000"
"1992-03-31","1992Mar","","","0.000","-503.000"
"1992-04-30","1992Apr","","","0.000","-983.000"
"1992-05-31","1992May","","","0.000","-2141.000"
"1992-06-30","1992Jun","","","0.000","-2812.000"
"1992-07-31","1992Jul","","","0.000","-3414.000"
"1992-08-31","1992Aug","","","0.000","-852.000"
"1992-09-30","1992Sep","","","0.000","-1317.000"
"1992-10-31","1992Oct","","","0.000","-694.000"
"1992-11-30","1992Nov","","","0.000","-1358.000"
"1992-12-31","1992Dec","","","0.000","-2781.000"
"1993-01-31","1993Jan","","","0.000","-2241.000"
"1993-02-28","1993Feb","","","0.000","-274.000"
"1993-03-31","1993Mar","","","0.000","193.000"
"1993-04-30","1993Apr","","","0.000","-1951.000"
"1993-05-31","1993May","","","0.000","-1633.000"
"1993-06-30","1993Jun","","","0.000","-970.000"
"1993-07-31","1993Jul","","","0.000","-3395.000"
"1993-08-31","1993Aug","","","0.000","-4097.000"
"1993-09-30","1993Sep","","","0.000","-2409.000"
"1993-10-31","1993Oct","","","0.000","-702.000"
"1993-11-30","1993Nov","","","0.000","-442.000"
"1993-12-31","1993Dec","","","0.000","-383.000"
"1994-01-31","1994Jan","","","0.000","-2710.000"
"1994-02-28","1994Feb","","","0.000","-2340.000"
"1994-03-31","1994Mar","","","0.000","-825.000"
"1994-04-30","1994Apr","","","0.000","-1614.000"
"1994-05-31","1994May","","","0.000","-2449.000"
"1994-06-30","1994Jun","","","0.000","-1062.000"
"1994-07-31","1994Jul","","","0.000","-4989.000"
"1994-08-31","1994Aug","","","0.000","-3279.000"
"1994-09-30","1994Sep","","","0.000","-3732.000"
"1994-10-31","1994Oct","","","0.000","-2105.000"
"1994-11-30","1994Nov","","","0.000","-999.000"
"1994-12-31","1994Dec","","","0.000","-2599.000"
"1995-01-31","1995Jan","","","0.000","-1668.000"
"1995-02-28","1995Feb","","","0.000","-1650.000"
"1995-03-31","1995Mar","","","0.000","-2439.000"
"1995-04-30","1995Apr","","","0.000","-1775.000"
"1995-05-31","1995May","","","0.000","-2160.000"
"1995-06-30","1995Jun","","","0.000","-2123.000"
"1995-07-31","1995Jul","","","0.000","-3832.000"
"1995-08-31","1995Aug","","","0.000","-4454.000"
"1995-09-30","1995Sep","","","0.000","-2667.000"
"1995-10-31","1995Oct","","","0.000","-1898.000"
"1995-11-30","1995Nov","","","0.000","755.000"
"1995-12-31","1995Dec","","","0.000","-1207.000"
"1996-01-31","1996Jan","","","0.000","-4063.000","","","","","","","","","","-220.000"
"1996-02-29","1996Feb","","","0.000","560.000","","","","","","","","","","-379.000"
"1996-03-31","1996Mar","","","0.000","-350.000","","","","","","","","","","-529.000"
"1996-04-30","1996Apr","","","0.000","-1420.000","","","","","","","","","","-553.000"
"1996-05-31","1996May","","","0.000","-1232.000","","","","","","","","","","-429.000"
"1996-06-30","1996Jun","","","0.000","-3288.000","","","","","","","","","","-378.000"
"1996-07-31","1996Jul","","","0.000","-2192.000","","","","","","","","","","-61.000"
"1996-08-31","1996Aug","","","0.000","-4061.000","","","","","","","","","","65.000"
"1996-09-30","1996Sep","","","0.000","-1449.000","","","","","","","","","","-294.000"
"1996-10-31","1996Oct","","","0.000","1312.000","","","","","","","","","","-412.000"
"1996-11-30","1996Nov","","","0.000","972.000","","","","","","","","","","-459.000"
"1996-12-31","1996Dec","","","0.000","224.000","","","","","","","","","","-614.000"
"1997-01-31","1997Jan","","","0.000","-6664.000","","","","","","","","","","-536.000"
"1997-02-28","1997Feb","","","0.000","-1521.000","","","","","","","","","","-474.000"
"1997-03-31","1997Mar","","","0.000","-39.000","","","","","","","","","","-729.000"
"1997-04-30","1997Apr","","","0.000","275.000","","","","","","","","","","-591.000"
"1997-05-31","1997May","","","0.000","-2771.000","","","","","","","","","","-531.000"
"1997-06-30","1997Jun","","","0.000","-539.000","","","","","","","","","","-510.000"
"1997-07-31","1997Jul","","","0.000","-1668.000","","","","","","","","","","-28.000"
"1997-08-31","1997Aug","","","0.000","-4273.000","","","","","","","","","","-99.000"
"1997-09-30","1997Sep","","","0.000","-398.000","","","","","","","","","","-701.000"
"1997-10-31","1997Oct","","","0.000","-1383.000","","","","","","","","","","-757.000"
"1997-11-30","1997Nov","","","0.000","663.000","","","","","","","","","","-574.000"
